,nH,T0,kT,taup,norm (co),PhoIndex,norm (po)
0,0.09714242644340984,0.35406196097156123,2.9591590309324625,3.8732707771157426,1.3952719712566903,1.9442411472016952,0.3012133671945643
1,0.1049750851964781,0.34877613026474946,3.734152226572024,3.2751073643355286,1.071196849965786,1.8762690099504842,0.36165774651056326
2,0.12376684059954235,0.3566906294313533,3.396562091065979,3.378792319499288,1.1593565744815255,2.005184651120848,0.4553178913176343
3,0.10610810309696808,0.3507806338494088,3.374587628541561,3.6236955234332178,1.2500789716502474,2.1187420346761443,0.2973928153178346
4,0.10011348938539735,0.352489941960548,2.8029889292897865,3.8971364949225906,1.4642942072316871,1.7999992293674028,0.33543912042393864
5,0.09914238160284398,0.3530016225235144,2.2039414342630423,4.484879987587828,1.8211896910930099,1.649877448836997,0.3827348180343402
6,0.10027425310142847,0.3562761637842673,2.770756978148077,3.910370866226094,1.444786017532358,1.8478993343333108,0.37081024712952704
7,0.1189747322801394,0.3411390332359745,3.2244106216806028,3.835729868445109,1.3634917507240472,2.4817618116397187,0.261772578201712
8,0.1161679581647391,0.3464168551458641,3.585379953645069,3.451629039026659,1.1536741121866574,2.082791183636565,0.3630281787667053
9,0.11230129687791256,0.3673258436689057,2.146088613774748,4.415910707960437,1.7895331514024786,1.8259058421649228,0.5009087264591232
10,0.10446826631942677,0.36016067927978207,2.1456551841066505,4.597983601997037,1.8529741797041939,1.76091930136239,0.4124140411675424
11,0.0939389539833411,0.3562133540086387,3.5075272372010478,3.311003960682402,1.1398164751089557,1.8378654335001565,0.3158465605198161
12,0.09538048563371423,0.36026467905794507,3.6677949364036895,3.0254072448717104,1.039079680637717,1.6971717437233813,0.3940032666706793
13,0.09326853069447198,0.35096816733306135,2.6446786639112494,4.134538128006687,1.5822182344115066,1.8762073295495174,0.28006442760724753
14,0.11208756342771285,0.35462750028068185,2.9493917403652428,3.860503363595845,1.4039349011059372,2.0745640128057734,0.3657172793744254
15,0.123962333176411,0.3644208125464811,3.5996994508185813,3.073442387700544,1.0243799269993819,1.9364706729651222,0.544639214604829
16,0.09314952434316062,0.35490928649769454,2.326979434910938,4.497457494646321,1.7664079191823772,1.8168837569930432,0.33033282749826004
17,0.11446107467374855,0.35050577451388587,2.819101497310559,4.108660244863048,1.4647529085856905,1.981076076882876,0.39020583427259525
18,0.1108277522942314,0.3489104093073825,3.797733717840626,3.3485450893783786,1.135380236506374,2.4029051919472373,0.24449678254618645
19,0.10523133418601409,0.36578380727519927,3.314708413915411,3.3008130951131913,1.166042906085921,1.8207836648071962,0.40412469133867734
20,0.10486684813911125,0.362905967168374,2.748076874173007,3.8332097797508964,1.4370120955310066,1.8273922687265018,0.39902765839221915
21,0.10667145711445494,0.34466788388624453,3.2803334210625623,3.734381394846019,1.285806455115821,2.074100409969865,0.3010028408900671
22,0.10140022644922098,0.3515214229640949,3.0202638831075026,3.720648823776922,1.3324666313178646,1.7936178919045689,0.3619291371044281
23,0.10168381346679081,0.3638847684956965,2.654280424531057,3.6966924857309635,1.4121142519358605,1.6319689351789313,0.4617763790296058
24,0.11398214620811413,0.35699524507449687,2.6776890896946215,3.8373516866891046,1.4409595290572865,1.7593486986274776,0.4690215848479775
25,0.11186411765144777,0.36856054731131316,3.7194075959471995,2.705388466337925,0.9605837617473889,1.6471841446167035,0.528719595955861
26,0.08955215770776821,0.36158362565875535,2.292762826230757,4.226217932702035,1.7101241254614195,1.584423806452664,0.365390521360498
27,0.11547043585510813,0.34219739306529945,2.9935260740364127,4.062737105376982,1.4538753661974846,2.3029253444934814,0.2798394644748132
28,0.10411276121126019,0.364680796553442,2.6423525016243534,3.810344818088693,1.4545663901560675,1.7192803951866742,0.44634176082733723
29,0.11916709594789951,0.35180881835257266,3.8715131949299453,3.2776297020931455,1.094958037117421,2.3685551513552157,0.31149971504161783
30,0.08993104237769836,0.3569749102971893,2.706430629077172,3.772024630456322,1.461413999489825,1.5763857018345864,0.34044246144048596
31,0.11024821519198087,0.3524758976131801,3.1108634123338343,3.6887792639094164,1.293741057981437,1.9744706808463122,0.3756323218924118
32,0.11703832354419542,0.3743377237282176,3.17419362993013,3.0795037772809124,1.1511723595524463,1.7527544518253744,0.5337706615257489
33,0.09754087517687506,0.3600499695014069,2.42844568905646,4.080212548934153,1.605348526000918,1.6763416274896419,0.40729283796578775
34,0.10968910919188384,0.3604174132962223,2.2190211087147507,4.598029356802292,1.7975268854977293,1.8917430028236295,0.4457551044758108
35,0.10368898223761587,0.3585597194494401,2.770256993903662,3.8133840733816498,1.4421088693854098,1.8366476362753668,0.37907014489265994
36,0.10671583817705316,0.36451031585758165,3.9296028722722482,2.9246326750861695,0.9802596981258743,1.8435983592873637,0.4064112934773395
37,0.11104044936424921,0.3610156412289226,2.1078314444827995,4.3766025887065325,1.8345518231025872,1.67275099722488,0.4923876993930899
