,nH,T0,kT,taup,norm (co_1),PhoIndex,norm (po_2)
0,0.11238858068038186,0.3440086237436884,3.249795254411791,3.781461047942252,1.3348351637578504,2.3991132723731696,0.26046962781785954
1,0.11398681994861265,0.3588328994087817,2.3275516738435353,4.284826451905099,1.6888158572733405,1.8025993697861697,0.4666535333056605
2,0.1014995417925538,0.36473586039703637,2.8010027648719897,3.666090547998315,1.3697973452507883,1.7450646407285642,0.42157816992624514
3,0.09068795803612172,0.37311793668965,3.5841366831537957,2.695293024270435,1.011812325118611,1.558485257957648,0.4098784037155341
4,0.11641780627710537,0.3647328575121148,2.934627467779753,3.5009591502141983,1.3139326859906313,1.8275737916043588,0.4684440392286986
5,0.10104727958156291,0.3532402784177647,3.548734461869221,3.4198481296771273,1.1561258523822235,1.9672993514372383,0.3225613363017207
6,0.11877257823624812,0.35496076764783946,3.976473582725534,3.05081100448012,0.9857549777056646,1.9976251557092808,0.4370985193931712
7,0.12250997373453876,0.3457731297154153,3.568494380921017,3.512400518764625,1.2355743535923622,2.6286365150931834,0.248866412667546
8,0.11587819893593929,0.34932639411098776,3.0857263424976877,3.817506021871456,1.3442046543111335,2.119662148159175,0.355625686434774
9,0.11378368686589609,0.3631281882417627,3.813820358245538,2.8229319778026536,0.9716511950251222,1.7467665484871588,0.48744438290480246
10,0.10478148192430826,0.35837678734731027,3.5869990587792717,3.1005534998530706,1.066209003909277,1.732146489945049,0.42632662879281485
11,0.11568414866069811,0.3496824829021132,2.8237637401680526,3.9144182377753003,1.4234279179051554,1.9367024534610917,0.4129297925809335
12,0.09581752308862826,0.3553113024859791,3.6225923151741757,3.3744941215986173,1.1174800805716778,1.9458936914294076,0.31009673307705565
13,0.10715544819848316,0.3562676391318649,2.7032594532605367,3.966640499460175,1.4581858807217611,1.7896865040168786,0.41387735350414423
14,0.10622816938195524,0.35559131985969744,3.5343114377174,3.4038480951323287,1.156238960977819,2.044357768727369,0.3295922334472191
