,kT,norm (bb_1),PhoIndex,norm (po_2),nH
0,0.7848267517339967,0.16665511130476085,2.115809414244335,0.0002817579316374227,0.12261851234406274
1,0.7398984692691328,0.20837940740913588,2.0158891268972265,0.0002646542393405282,0.11107681732429654
2,0.7250580083621301,0.2058760388297178,2.037261455173291,0.00026665829737275226,0.10923108335362564
3,0.7269985162454,0.2087898118251118,2.039253756838248,0.000269237561541969,0.10772721963884613
4,0.7280342394933604,0.21302365477322247,2.0409468098684815,0.0002668754559005377,0.10528919970223705
5,0.722106762863821,0.2131951696097188,2.0405845725412024,0.00026482640147739464,0.1067999298479271
6,0.7199234202514808,0.21521693472965928,2.035245775974452,0.0002656824064182552,0.10849537317579815
7,0.7504949180368208,0.2062276839057239,2.1110080921587095,0.0002696258830062556,0.11579502055882945
8,0.7506359232493558,0.19442510629965207,2.087944183921345,0.0002694922040925962,0.11689240182901954
9,0.75489282428608,0.19909857044893461,2.08917623948922,0.0002723481733587112,0.11614536324426795
10,0.7529201612878728,0.19232819084046007,2.0847624026012275,0.00027979469760997585,0.12118358124887359
11,0.7394055254583594,0.187350297401534,2.073781149250929,0.0002833114993716902,0.12133349663437829
12,0.7882708177398206,0.1402895221590141,2.0832537128262674,0.00029618112097273624,0.13196056696840117
13,0.7927991631539638,0.14888981087158742,2.0897668894601975,0.00029516302314708763,0.13267885258311662
14,0.742238702525511,0.19463694312277907,2.0891837807353526,0.0002776365392474724,0.1288086707796293
15,0.7390391312161331,0.15676632835770454,2.0940934945077334,0.0003113572673947616,0.13705027891300328
16,0.7453191395846699,0.15921263659572601,2.0999530323155935,0.0003087726919272616,0.13718300898208854
17,0.7918389085500509,0.1678369721083781,2.1012671680134454,0.0002764111426493519,0.12067150082849905
18,0.7712605827660207,0.17064001210227545,2.0934489960569977,0.0002830940858976535,0.11971233473674045
19,0.7290938160517342,0.20726857577495303,2.061965210038573,0.0002696030394987016,0.11238810986363229
20,0.7515273572751857,0.19421098370319,2.029347979614562,0.000266290314702139,0.11139108647525219
21,0.7293252584988976,0.18553413767433716,2.049859035924243,0.0002887077731628719,0.12175914119596301
22,0.7476673391103772,0.18389880778677606,2.099352594061337,0.0002927369924782287,0.13687607363681317
23,0.7374144701554558,0.19539438894503963,1.9911569764195924,0.0002672117152729418,0.10663068011839343
24,0.7216191263879992,0.21098244390286447,2.059298138111508,0.00028112793852998566,0.12346040817638117
25,0.7130324093511329,0.21133587819099406,2.043215679114757,0.00028012228185060915,0.12125595477086801
26,0.7860147423438943,0.1526465187477934,2.088707814770221,0.000288972581965399,0.12325937147346425
27,0.7755054827935612,0.14070702764883758,2.1204262127066524,0.00031449267149426377,0.14264849545338623
28,0.7068998035519042,0.21719384595833116,1.9983413108997452,0.00025989505478036016,0.10308244432507026
29,0.7188683890983154,0.22614535299818547,1.9841607811273,0.00026011024628815776,0.10887873352413914
30,0.7242610953131833,0.19869025121142006,1.9666361023052819,0.0002648762704833695,0.10085197543954656
31,0.7054072358745954,0.25137310965428067,2.0581381830944765,0.0002565475160732401,0.10912044319965007
32,0.7330967730056743,0.17091347259482167,1.958255978128423,0.00027298308059097516,0.10495586188664188
33,0.7292917524039475,0.2129116762018661,2.0476075506762146,0.0002794118732440661,0.11848755417440987
34,0.7263239196444653,0.20639154098571652,2.05309590899005,0.00027730350575559605,0.11984366689127547
35,0.7395007078522402,0.19872378564005955,2.1077539946454245,0.00028409684750519093,0.1287317687634932
36,0.7439570606222484,0.19681971124896536,2.0949971787728763,0.0002808724850767459,0.12407985419607023
37,0.748850102286457,0.1869552478928363,2.0777765281998177,0.0002788588595728943,0.12271926338624942
38,0.7534847840399417,0.19476203870015776,2.1109570145571372,0.00027782791227104817,0.11946811474238976
39,0.7646261095355621,0.17171392295471902,2.0788732653393067,0.00028515682940878417,0.12191248487350272
40,0.7619385082938291,0.17367009218917281,2.120331348274968,0.0002889402498990653,0.1307610048608324
41,0.7495097848447787,0.18484213872582164,2.0348563984459695,0.000274536664824061,0.11006117655992197
42,0.7484724018009726,0.19129427984221933,2.0145621568594354,0.0002652419924003277,0.11107368693308382
43,0.7476254312146289,0.1902597716788053,2.0209863561983585,0.0002659478914811551,0.11000246130304961
44,0.7499900974767162,0.1844131548539571,2.0047310757250933,0.0002639352972516482,0.10994744127964555
45,0.7478135920634299,0.16451264381603184,2.0595830437356764,0.00030250370435652295,0.13175859054334865
46,0.7412664184941992,0.19178752306880079,2.1122195106645862,0.0002897480431148005,0.13356828282771946
